timestamp,kp,bz,bt,solar_wind_speed,density,max_kp_forecast,ssn,f107,active_alerts,risk_score,risk_level,ml_storm_probability,ml_alert
2026-07-04T06:09:06,2.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,2,LOW,,
2026-07-04T10:07:36,3.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,3,LOW,,
2026-07-04T13:19:24,4.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,4,MODERATE,,
2026-07-04T15:03:00,4.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,4,MODERATE,,
2026-07-04T17:01:39,5.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,5,MODERATE,,
2026-07-04T19:08:13,1.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,2,LOW,,
2026-07-04T20:54:40,5.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,5,MODERATE,,
2026-07-04T22:56:08,4.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,4,MODERATE,,
2026-07-05T02:50:57,3.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,3,LOW,,
2026-07-05T05:31:01,2.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,2,LOW,,
2026-07-05T05:41:21,2.0,0.0,0.0,0.0,0.0,2.0,94.4,138.21,20,2,LOW,,
2026-07-05T05:46:13,2.0,2.91,5.15,532.5,5.5,2.0,94.4,138.21,20,4,MODERATE,,
2026-07-05T06:29:40,2.0,-1.61,4.54,518.7,4.69,2.0,94.4,138.21,20,5,MODERATE,,
2026-07-05T07:23:32,2.0,-2.79,5.17,515.1,3.33,2.0,94.4,138.21,20,5,MODERATE,0.0350,no
2026-07-05T10:10:27,3.0,-2.79,5.37,488.0,1.08,2.0,94.4,138.21,20,5,MODERATE,0.0775,no
2026-07-05T13:25:45,1.0,-2.59,5.61,493.1,1.05,2.0,94.4,138.21,20,4,MODERATE,0.0177,no
2026-07-05T15:10:48,3.33,-3.2,4.87,469.0,1.1,2.0,94.4,138.21,20,5,MODERATE,0.0778,no
2026-07-05T17:06:45,2.0,-2.93,4.74,463.8,1.34,2.0,94.4,138.21,20,4,MODERATE,0.0476,no
2026-07-05T19:13:55,2.0,-3.84,5.33,433.0,1.03,2.0,94.4,138.21,20,4,MODERATE,0.0294,no
2026-07-05T20:57:12,2.0,-3.96,5.85,462.7,1.03,2.0,94.4,138.21,20,4,MODERATE,0.0350,no
2026-07-05T22:59:32,3.0,-3.6,6.01,491.0,1.27,2.0,94.4,138.21,20,5,MODERATE,0.0775,no
2026-07-06T02:57:31,3.0,-1.56,5.97,460.3,0.8,1.33,94.4,138.21,20,5,MODERATE,0.0879,no
2026-07-06T08:17:50,2.0,-0.32,5.19,436.2,0.97,1.33,94.4,138.21,20,4,MODERATE,0.0350,no
2026-07-06T18:11:19,1.33,-3.43,7.16,505.1,1.66,1.33,94.4,138.21,20,5,MODERATE,0.0177,no
2026-07-06T19:52:25,2.0,0.15,6.79,452.4,1.62,1.33,94.4,138.21,20,3,LOW,0.0321,no
2026-07-06T21:26:58,2.33,-0.94,6.31,435.3,1.65,1.33,94.4,138.21,20,4,MODERATE,0.0499,no
2026-07-06T23:04:44,2.33,0.01,6.95,395.7,1.1,1.33,94.4,138.21,20,2,LOW,0.0477,no
2026-07-07T02:51:49,1.67,-0.15,6.57,413.8,2.33,4.67,94.4,138.21,20,4,MODERATE,0.0268,no
2026-07-07T07:35:54,1.67,4.51,5.82,417.2,1.75,4.67,94.4,138.21,20,3,LOW,0.0245,no
2026-07-07T09:24:25,0.67,2.55,6.09,439.4,1.8,4.67,94.4,138.21,20,3,LOW,0.0118,no,C1.5,"speed=780.0km/s, arrival in 0.6h, predicted Kp=4",none
2026-07-07T10:53:22,0.67,1.97,6.55,428.2,2.13,4.67,94.4,138.21,20,3,LOW,0.0103,no,C1.2,"speed=780.0km/s, arrival in -0.9h, predicted Kp=4",none
2026-07-07T14:27:34,0.67,-0.79,7.18,417.2,2.75,4.67,94.4,138.21,20,4,MODERATE,0.0118,no,C8.6,"speed=780.0km/s, arrival in -4.5h, predicted Kp=4",none
2026-07-07T17:57:14,1.0,-2.63,8.24,387.1,1.78,4.67,94.4,138.21,20,3,LOW,0.0155,no,B8.8,"speed=780.0km/s, arrival in -8.0h, predicted Kp=4",none
2026-07-07T20:00:00,1.0,-3.11,7.55,389.6,2.22,4.67,94.4,138.21,20,3,LOW,0.0162,no,B8.1,"speed=780.0km/s, arrival in -10.0h, predicted Kp=4",none
2026-07-07T21:37:03,1.0,-4.24,7.02,394.6,3.75,4.67,94.4,138.21,20,3,LOW,0.0154,no,B7.7,"speed=780.0km/s, arrival in -11.6h, predicted Kp=4",none
2026-07-07T22:58:44,2.0,-4.14,6.48,384.8,4.23,4.67,94.4,138.21,20,3,LOW,0.0350,no,C1.1,"speed=687.0km/s, arrival in -3.0h, predicted Kp=3",none
2026-07-08T02:28:28,2.0,-7.38,9.07,414.3,4.19,3.33,94.4,138.21,20,5,MODERATE,0.0400,no,B6.1,"speed=687.0km/s, arrival in -6.5h, predicted Kp=3",bz (z=-3.05)
2026-07-08T06:26:38,2.0,-5.91,8.15,410.0,4.17,3.33,94.4,138.21,20,5,MODERATE,0.0350,no,B6.2,"speed=687.0km/s, arrival in -10.4h, predicted Kp=3",none
2026-07-08T10:14:17,3.0,-3.15,8.19,405.7,4.27,3.33,94.4,138.21,20,5,MODERATE,0.0775,no,B8.8,"speed=921.0km/s, arrival in 19.8h, predicted Kp=3",none
2026-07-08T13:58:44,2.0,-3.26,8.1,390.0,3.92,3.33,94.4,138.21,20,3,LOW,0.0400,no,B8.8,"speed=921.0km/s, arrival in 16.0h, predicted Kp=3",none
2026-07-08T16:04:49,2.33,-5.49,10.01,373.1,5.3,3.33,94.4,138.21,20,4,MODERATE,0.0401,no,C1.1,"speed=921.0km/s, arrival in 13.9h, predicted Kp=3",none
2026-07-08T19:21:31,2.0,-3.39,8.53,361.4,4.96,3.33,94.4,138.21,20,3,LOW,0.0366,no,B9.5,"speed=921.0km/s, arrival in 10.6h, predicted Kp=3",none
2026-07-08T21:04:44,2.67,0.84,7.42,396.8,5.58,3.33,94.4,138.21,20,2,LOW,0.0574,no,B7.0,"speed=921.0km/s, arrival in 8.9h, predicted Kp=3",none
2026-07-08T23:04:00,1.0,-1.4,8.54,389.1,4.64,3.33,94.4,138.21,20,3,LOW,0.0169,no,B6.6,"speed=921.0km/s, arrival in 6.9h, predicted Kp=3",none
2026-07-09T02:44:32,2.0,0.34,7.9,371.7,9.09,1.33,94.4,138.21,20,2,LOW,0.0281,no,C2.2,"speed=921.0km/s, arrival in 3.3h, predicted Kp=3",density (z=3.95)
2026-07-09T07:35:08,1.0,-5.17,11.23,435.0,6.98,1.33,94.4,138.21,20,5,MODERATE,0.0177,no,C1.8,"speed=921.0km/s, arrival in -1.6h, predicted Kp=3",none
2026-07-09T10:52:15,3.0,-5.07,13.29,422.1,8.41,1.33,94.4,138.21,20,6,HIGH,0.0683,no,B6.4,"speed=921.0km/s, arrival in -4.9h, predicted Kp=3",density (z=2.85)
